Term1_avg,Term2_avg,Seq5_score,Attendance_percentage,Study_hours_per_day,Homework_completion,Extra_lessons,Class_participation,Sleep_hours,Parental_support,Teacher_quality,Peer_influence,Access_to_resources,Family_income,Internet_access,School_type,Learning_disabilities,Physical_activity,Pass
72,72,72,86,3.142857142857143,110,3,0,7,0,2.0,2,1,0,1,0,0,2,1
57,57,57,77,1.2857142857142858,45,2,1,5,1,2.0,1,1,1,1,0,0,3,0
65,65,65,71,3.142857142857143,110,1,0,7,0,0.0,2,1,1,1,0,0,4,0
72,72,72,68,2.5714285714285716,90,0,1,7,2,1.0,1,1,1,1,0,0,3,0
63,63,63,86,2.2857142857142856,80,2,1,8,0,1.0,2,1,1,1,0,0,4,0
96,96,96,77,3.4285714285714284,120,0,1,8,2,1.0,1,0,1,1,0,0,3,0
51,51,51,67,3.7142857142857144,130,2,0,7,1,2.0,1,2,2,1,1,1,4,0
79,79,79,88,3.7142857142857144,130,1,1,5,1,2.0,2,2,0,1,1,0,4,1
89,89,89,83,2.142857142857143,75,1,0,5,1,2.0,1,2,1,0,0,1,2,0
87,87,87,94,2.5714285714285716,90,1,2,6,1,1.0,2,1,1,1,0,0,4,1
82,82,82,65,3.142857142857143,110,2,1,8,2,2.0,2,0,1,1,0,0,1,0
71,71,71,91,3.7142857142857144,130,0,1,8,1,1.0,1,0,0,1,1,0,3,1
96,96,96,87,2.4285714285714284,85,1,1,7,1,1.0,0,1,2,1,0,0,5,1
66,66,66,65,2.7142857142857144,95,0,0,10,1,1.0,2,1,0,1,0,0,3,0
88,88,88,88,1.8571428571428572,65,2,2,9,0,2.0,0,2,0,1,1,0,4,1
96,96,96,78,1.8571428571428572,65,2,2,9,1,1.0,1,2,0,1,0,0,3,0
56,56,56,98,3.5714285714285716,125,0,1,8,0,2.0,1,2,1,0,1,0,3,1
97,97,97,66,4.0,140,0,1,8,1,1.0,1,2,1,1,0,0,2,1
89,89,89,86,2.857142857142857,100,1,1,8,1,1.0,0,1,0,1,0,0,3,1
81,81,81,75,3.7142857142857144,130,3,2,4,0,2.0,2,2,1,1,1,0,2,1
69,69,69,98,3.142857142857143,110,1,0,5,1,2.0,0,2,0,0,0,0,4,1
95,95,95,73,2.2857142857142856,80,1,1,7,1,1.0,0,1,0,1,0,0,4,0
52,52,52,98,3.142857142857143,110,3,1,7,1,1.0,2,0,1,0,0,0,3,1
72,72,72,96,4.142857142857143,145,1,1,7,1,1.0,2,0,0,1,0,0,3,1
88,88,88,71,2.857142857142857,100,1,1,7,1,0.0,1,1,0,1,0,0,4,0
91,91,91,92,4.142857142857143,145,2,1,4,0,1.0,0,1,1,1,0,0,1,1
60,60,60,100,0.5714285714285714,20,0,2,8,2,2.0,2,2,1,1,1,0,4,1
52,52,52,70,3.5714285714285716,125,1,1,7,1,1.0,2,1,1,1,0,0,3,0
90,90,90,77,3.0,105,4,1,7,0,1.0,1,1,1,1,1,0,3,1
71,71,71,81,2.5714285714285716,90,0,1,8,2,1.0,1,0,1,1,0,0,3,0
57,57,57,72,3.0,105,1,1,5,1,1.0,1,1,2,1,0,1,5,0
54,54,54,61,1.1428571428571428,40,1,1,7,1,1.0,2,1,2,1,0,0,3,0
82,82,82,69,2.7142857142857144,95,1,2,7,1,1.0,0,2,0,1,0,0,2,0
79,79,79,71,3.142857142857143,110,1,2,6,2,0.0,2,1,0,1,0,0,3,0
93,93,93,78,4.142857142857143,145,5,0,4,2,2.0,1,2,1,1,0,0,3,1
52,52,52,67,2.4285714285714284,85,2,2,5,1,1.0,0,1,1,1,1,0,3,0
93,93,93,95,2.142857142857143,75,2,1,7,1,1.0,2,1,0,1,0,0,4,1
94,94,94,88,2.4285714285714284,85,0,0,7,1,1.0,1,2,1,1,0,0,3,1
72,72,72,63,3.5714285714285716,125,3,1,7,1,2.0,0,2,1,1,1,0,4,0
54,54,54,86,3.142857142857143,110,2,1,6,0,1.0,1,0,1,1,0,0,0,0
97,97,97,86,2.4285714285714284,85,3,2,5,1,1.0,1,2,2,1,0,0,3,1
54,54,54,98,3.2857142857142856,115,0,0,7,1,1.0,0,0,1,1,0,0,3,1
80,80,80,60,3.0,105,0,1,7,2,2.0,1,1,1,1,0,1,4,0
75,75,75,70,3.7142857142857144,130,1,1,8,1,0.0,1,0,1,1,1,1,4,0
92,92,92,97,2.2857142857142856,80,0,0,6,1,1.0,2,1,2,1,1,0,4,1
75,75,75,97,2.5714285714285716,90,0,0,4,2,1.0,2,1,0,1,0,0,3,1
73,73,73,89,2.5714285714285716,90,3,1,4,2,1.0,2,1,2,1,1,0,2,1
94,94,94,91,1.5714285714285714,55,3,1,6,1,1.0,1,1,1,1,0,0,3,1
98,98,98,64,3.142857142857143,110,1,0,7,0,1.0,0,1,1,0,0,0,3,0
77,77,77,81,3.142857142857143,110,2,0,7,1,1.0,2,1,1,1,0,0,3,1
73,73,73,69,2.857142857142857,100,2,1,6,2,1.0,2,2,0,1,1,0,3,0
92,92,92,67,2.7142857142857144,95,0,2,5,0,1.0,2,1,1,1,0,0,3,0
92,92,92,92,1.7142857142857142,60,2,2,4,1,2.0,1,1,1,1,0,1,3,0
66,66,66,65,2.4285714285714284,85,1,1,8,1,2.0,1,2,2,1,0,1,4,0
79,79,79,79,2.5714285714285716,90,0,1,7,1,2.0,1,1,0,1,1,0,3,0
58,58,58,98,2.142857142857143,75,0,2,6,2,2.0,2,1,0,1,0,0,3,1
82,82,82,67,2.7142857142857144,95,1,2,5,1,0.0,0,1,0,1,1,0,3,0
92,92,92,99,3.142857142857143,110,3,0,6,1,1.0,0,0,1,1,0,0,4,1
59,59,59,100,4.428571428571429,155,2,1,7,1,2.0,2,1,2,1,0,0,5,1
66,66,66,82,3.0,105,3,2,7,1,1.0,2,2,0,1,0,1,3,1
72,72,72,67,3.142857142857143,110,3,2,7,1,2.0,2,1,0,1,0,0,2,0
92,92,92,73,2.857142857142857,100,2,1,9,2,2.0,2,1,1,1,0,0,3,1
87,87,87,77,1.1428571428571428,40,0,1,6,2,1.0,1,1,0,1,0,0,2,0
66,66,66,72,2.857142857142857,100,3,1,9,1,2.0,2,1,0,1,1,0,3,0
62,62,62,71,2.857142857142857,100,2,2,7,0,1.0,0,2,1,1,0,0,5,0
85,85,85,99,5.0,175,2,0,7,2,2.0,1,2,1,1,1,0,2,1
74,74,74,66,2.7142857142857144,95,1,1,8,1,1.0,1,1,2,1,0,0,3,0
80,80,80,89,3.142857142857143,110,1,1,6,2,2.0,2,2,2,1,0,0,3,1
82,82,82,60,2.857142857142857,100,2,2,7,0,2.0,2,2,0,1,0,1,4,0
78,78,78,84,1.8571428571428572,65,1,1,5,1,2.0,2,1,0,1,0,0,2,0
81,81,81,97,3.857142857142857,135,0,1,8,0,1.0,2,2,2,1,0,0,5,1
94,94,94,72,3.5714285714285716,125,2,0,8,2,1.0,2,2,0,1,1,0,4,1
93,93,93,67,3.5714285714285716,125,2,2,9,2,2.0,2,1,0,1,0,1,3,1
57,57,57,86,2.142857142857143,75,1,1,7,1,1.0,0,1,1,1,0,0,3,0
79,79,79,89,4.0,140,0,2,9,0,1.0,2,2,0,1,1,0,1,1
72,72,72,88,1.7142857142857142,60,2,0,6,0,1.0,2,1,1,1,0,0,2,0
64,64,64,73,3.4285714285714284,120,4,1,8,1,1.0,1,2,2,1,1,1,3,1
82,82,82,70,4.714285714285714,165,1,0,6,1,2.0,1,1,0,1,0,0,4,1
76,76,76,98,2.0,70,0,1,7,1,2.0,2,1,1,1,1,0,4,1
89,89,89,97,2.4285714285714284,85,1,1,8,1,0.0,1,1,0,1,0,0,4,1
55,55,55,78,3.0,105,1,1,10,1,0.0,2,1,2,1,1,0,2,0
65,65,65,94,2.4285714285714284,85,4,0,8,0,1.0,1,1,1,1,0,0,6,1
51,51,51,78,1.5714285714285714,55,2,1,8,1,1.0,1,2,0,1,0,0,3,0
87,87,87,77,2.857142857142857,100,0,0,6,1,2.0,2,1,0,1,0,0,4,0
96,96,96,66,2.0,70,3,1,7,2,2.0,0,0,0,1,0,0,3,0
79,79,79,77,3.2857142857142856,115,0,1,7,1,2.0,1,1,0,1,0,0,2,0
81,81,81,81,2.0,70,1,1,9,1,2.0,0,1,0,1,1,0,3,0
52,52,52,61,4.142857142857143,145,3,0,7,1,1.0,2,2,0,1,1,0,3,0
75,75,75,78,2.142857142857143,75,1,0,9,2,1.0,0,2,0,1,0,0,1,0
76,76,76,91,2.5714285714285716,90,1,1,5,0,1.0,1,1,1,1,0,0,3,1
52,52,52,87,3.5714285714285716,125,1,2,9,1,2.0,2,0,0,1,1,0,2,1
89,89,89,85,1.8571428571428572,65,0,1,6,2,1.0,1,1,2,1,1,1,1,0
64,64,64,96,3.0,105,2,2,8,1,2.0,1,1,1,1,0,0,0,1
86,86,86,61,4.0,140,1,2,6,1,1.0,0,2,0,1,1,1,3,0
70,70,70,82,1.4285714285714286,50,3,1,8,1,2.0,2,0,0,1,0,1,1,0
100,100,100,91,3.0,105,0,1,6,2,1.0,1,1,2,1,1,0,2,1
61,61,61,82,3.142857142857143,110,2,1,9,1,1.0,0,1,0,1,0,1,2,0
53,53,53,73,3.5714285714285716,125,0,2,8,1,2.0,0,2,0,0,1,0,5,0
99,99,99,65,1.8571428571428572,65,0,1,6,0,1.0,0,2,0,1,1,0,4,0
62,62,62,96,1.7142857142857142,60,2,1,8,0,2.0,0,2,1,1,0,0,3,1
82,82,82,79,3.2857142857142856,115,3,0,8,2,1.0,0,2,1,1,0,1,3,1
69,69,69,95,3.142857142857143,110,1,1,6,1,1.0,2,2,0,1,0,0,3,1
82,82,82,83,3.142857142857143,110,2,1,5,1,2.0,2,2,0,1,0,0,3,1
80,80,80,87,3.142857142857143,110,2,0,5,2,2.0,0,2,0,1,0,0,3,1
85,85,85,92,2.2857142857142856,80,1,0,5,1,1.0,1,2,0,1,0,0,2,1
51,51,51,86,3.0,105,2,1,5,0,2.0,2,1,0,1,0,0,2,0
92,92,92,76,3.142857142857143,110,1,1,8,1,2.0,1,1,0,1,0,0,4,1
74,74,74,81,2.2857142857142856,80,3,1,8,1,1.0,2,1,1,1,0,0,2,1
76,76,76,92,4.428571428571429,155,2,1,4,1,2.0,2,1,1,1,0,1,4,1
71,71,71,75,3.2857142857142856,115,0,0,6,0,1.0,1,2,1,1,0,0,2,0
99,99,99,76,1.8571428571428572,65,2,0,5,1,1.0,2,2,1,1,1,0,4,0
90,90,90,64,3.4285714285714284,120,0,2,8,1,2.0,0,1,0,1,0,0,3,0
66,66,66,97,2.0,70,2,1,6,1,1.0,0,1,1,1,0,1,3,0
89,89,89,64,3.5714285714285716,125,2,0,5,1,1.0,1,2,1,1,0,0,4,0
72,72,72,86,3.857142857142857,135,1,0,7,1,2.0,2,1,1,1,0,0,4,1
94,94,94,77,2.142857142857143,75,0,0,8,1,2.0,2,1,2,1,0,0,3,0
52,52,52,76,3.7142857142857144,130,4,1,6,1,0.0,1,2,2,1,0,0,3,1
68,68,68,87,3.142857142857143,110,0,1,7,2,1.0,1,0,0,0,0,0,2,0
71,71,71,63,3.5714285714285716,125,1,1,6,2,0.0,2,1,1,1,1,0,3,0
87,87,87,84,4.428571428571429,155,2,1,9,1,1.0,1,1,0,1,1,0,3,1
59,59,59,91,2.7142857142857144,95,5,1,6,2,2.0,1,0,1,1,0,0,4,1
64,64,64,93,2.142857142857143,75,2,1,6,2,2.0,2,1,1,1,0,0,4,1
86,86,86,67,2.142857142857143,75,1,2,7,1,1.0,2,1,2,1,1,0,3,0
54,54,54,96,2.142857142857143,75,3,2,7,1,2.0,0,1,1,0,0,0,2,0
60,60,60,86,2.857142857142857,100,1,1,8,2,1.0,1,0,1,1,0,1,4,0
88,88,88,95,3.142857142857143,110,0,0,9,1,2.0,2,2,0,1,0,0,2,1
94,94,94,79,3.142857142857143,110,1,1,9,1,1.0,2,1,1,1,0,0,3,1
86,86,86,82,3.5714285714285716,125,3,1,6,1,2.0,2,1,0,0,0,0,3,1
76,76,76,97,2.857142857142857,100,2,0,7,1,0.0,2,1,0,1,1,0,3,1
55,55,55,96,4.142857142857143,145,0,0,9,1,1.0,1,1,1,0,0,0,2,1
91,91,91,78,2.5714285714285716,90,2,2,9,1,0.0,1,1,2,1,0,0,4,0
56,56,56,71,5.142857142857143,180,2,1,6,1,1.0,2,1,2,1,0,0,2,1
69,69,69,76,3.4285714285714284,120,2,0,8,0,1.0,1,2,1,1,0,0,1,0
53,53,53,76,2.142857142857143,75,1,1,8,2,1.0,1,2,0,1,0,0,4,0
85,85,85,71,2.0,70,2,0,8,1,2.0,1,1,1,1,0,0,4,0
75,75,75,71,3.2857142857142856,115,1,0,9,0,1.0,0,0,0,1,0,0,2,0
95,95,95,94,2.7142857142857144,95,3,1,5,0,0.0,2,1,0,1,0,0,2,1
57,57,57,63,3.4285714285714284,120,1,1,6,1,2.0,1,0,0,1,1,0,5,0
91,91,91,87,3.2857142857142856,115,0,2,8,2,1.0,2,2,2,1,1,0,3,1
76,76,76,67,2.857142857142857,100,0,1,7,0,1.0,1,1,1,1,0,0,4,0
68,68,68,74,2.142857142857143,75,3,0,4,0,1.0,2,2,0,1,0,0,3,0
82,82,82,62,1.5714285714285714,55,3,1,5,1,1.0,1,2,2,1,1,0,4,0
90,90,90,71,2.4285714285714284,85,5,1,8,1,1.0,2,1,1,1,0,0,1,0
72,72,72,91,3.5714285714285716,125,2,0,8,1,2.0,2,1,1,1,0,0,0,1
62,62,62,95,3.0,105,1,2,5,1,0.0,2,1,1,1,0,0,4,1
96,96,96,69,1.8571428571428572,65,0,0,9,1,1.0,1,0,2,1,1,0,4,0
66,66,66,79,3.0,105,2,0,7,1,1.0,0,2,0,1,0,0,4,0
100,100,100,79,3.142857142857143,110,4,1,5,2,2.0,0,1,2,1,0,0,3,1
88,88,88,95,2.142857142857143,75,1,0,6,0,1.0,0,0,0,1,0,0,5,0
84,84,84,91,3.0,105,1,1,5,1,0.0,1,2,2,1,0,0,2,1
51,51,51,81,2.857142857142857,100,3,2,6,2,1.0,1,1,1,0,0,1,4,0
72,72,72,87,1.8571428571428572,65,2,1,4,2,2.0,1,0,1,1,0,0,3,0
75,75,75,94,3.142857142857143,110,2,2,7,0,1.0,1,1,2,1,0,0,2,1
69,69,69,60,3.2857142857142856,115,1,1,8,2,1.0,2,1,0,1,1,0,4,0
57,57,57,76,3.7142857142857144,130,1,1,5,1,1.0,2,1,1,1,0,0,4,1
68,68,68,96,3.7142857142857144,130,3,1,7,1,1.0,2,1,2,1,1,0,3,1
54,54,54,90,1.7142857142857142,60,1,1,6,1,1.0,1,0,2,0,0,0,3,0
65,65,65,82,2.0,70,1,1,8,1,1.0,2,1,0,1,1,0,3,0
54,54,54,81,3.2857142857142856,115,1,1,4,0,1.0,1,1,0,1,0,0,3,0
88,88,88,74,3.2857142857142856,115,0,0,8,1,2.0,0,2,1,1,0,1,3,0
84,84,84,81,3.2857142857142856,115,2,1,4,1,1.0,2,0,1,1,0,0,5,1
97,97,97,86,6.142857142857143,215,2,1,7,2,2.0,2,1,1,1,0,0,1,1
69,69,69,77,3.2857142857142856,115,1,0,6,1,1.0,2,2,1,1,1,0,2,0
89,89,89,89,3.857142857142857,135,3,1,6,1,1.0,2,2,1,1,1,0,3,1
79,79,79,94,3.7142857142857144,130,1,2,5,1,2.0,2,2,0,1,0,0,2,1
82,82,82,66,3.4285714285714284,120,1,0,9,1,1.0,1,0,1,1,0,1,2,0
77,77,77,78,2.5714285714285716,90,2,1,5,2,1.0,1,1,1,0,0,0,4,0
89,89,89,76,3.5714285714285716,125,3,2,5,1,2.0,1,1,1,1,0,0,3,1
52,52,52,87,2.142857142857143,75,2,1,10,1,2.0,2,2,0,1,1,0,3,1
54,54,54,70,2.7142857142857144,95,0,2,7,1,1.0,2,0,1,1,0,1,2,1
55,55,55,86,2.4285714285714284,85,2,0,5,2,1.0,1,0,2,0,1,0,4,0
64,64,64,95,2.857142857142857,100,2,0,7,0,2.0,1,1,1,0,0,0,3,1
80,80,80,77,4.857142857142857,170,0,0,7,1,1.0,2,0,1,1,0,0,3,1
82,82,82,96,1.2857142857142858,45,0,2,4,1,1.0,2,1,0,0,0,0,4,0
86,86,86,100,3.4285714285714284,120,2,0,6,2,1.0,2,2,1,1,1,0,5,1
64,64,64,64,1.4285714285714286,50,0,2,7,1,1.0,2,2,1,1,0,1,4,0
83,83,83,69,2.4285714285714284,85,2,1,9,2,2.0,2,1,1,1,1,1,4,0
56,56,56,98,3.857142857142857,135,1,0,7,0,1.0,2,2,2,1,1,0,3,1
50,50,50,98,2.857142857142857,100,1,0,7,1,2.0,1,0,1,1,1,0,2,1
85,85,85,64,2.0,70,0,1,6,1,1.0,1,1,1,1,0,0,3,0
86,86,86,61,2.2857142857142856,80,2,0,9,1,2.0,2,1,0,1,0,0,2,0
81,81,81,66,3.4285714285714284,120,1,2,8,2,1.0,1,0,1,1,0,0,4,0
63,63,63,100,2.2857142857142856,80,2,2,8,2,1.0,0,0,0,1,0,0,3,1
96,96,96,67,3.0,105,3,0,7,1,1.0,1,1,0,1,0,0,2,0
94,94,94,80,2.857142857142857,100,0,1,5,1,0.0,2,2,0,1,1,1,4,0
76,76,76,94,2.2857142857142856,80,0,1,9,2,2.0,1,2,0,1,0,0,2,1
99,99,99,61,4.714285714285714,165,2,2,7,1,2.0,1,1,1,1,0,0,3,1
65,65,65,84,3.4285714285714284,120,3,0,7,2,2.0,2,0,1,1,0,0,3,1
75,75,75,71,1.1428571428571428,40,0,1,8,2,2.0,2,0,1,1,0,0,3,0
96,96,96,94,3.0,105,0,0,7,1,1.0,1,1,1,1,1,1,2,1
73,73,73,71,2.2857142857142856,80,1,1,5,2,1.0,1,1,1,1,0,1,0,0
74,74,74,87,3.5714285714285716,125,0,0,7,1,2.0,1,0,1,1,0,1,4,0
54,54,54,87,2.142857142857143,75,1,1,4,0,1.0,1,1,1,1,0,0,6,0
61,61,61,69,2.7142857142857144,95,3,2,7,1,2.0,1,1,2,1,0,0,4,0
58,58,58,61,3.2857142857142856,115,4,1,9,0,1.0,1,1,1,1,0,0,2,0
78,78,78,76,3.5714285714285716,125,2,1,4,1,1.0,0,2,1,1,1,0,3,1
66,66,66,72,1.8571428571428572,65,0,1,7,2,2.0,1,2,0,1,0,0,4,0
54,54,54,92,2.5714285714285716,90,1,1,8,0,1.0,2,1,1,1,0,0,3,0
75,75,75,92,2.4285714285714284,85,2,1,8,0,2.0,1,0,1,1,0,0,3,1
83,83,83,78,2.2857142857142856,80,0,1,6,1,0.0,1,2,0,1,0,1,3,0
87,87,87,84,4.428571428571429,155,0,2,5,1,1.0,2,1,1,1,1,0,3,1
92,92,92,84,3.142857142857143,110,0,0,6,1,1.0,1,1,1,1,0,0,5,1
74,74,74,93,1.7142857142857142,60,1,0,9,1,1.0,1,1,1,1,0,0,3,0
70,70,70,77,3.7142857142857144,130,2,0,4,0,0.0,1,1,2,1,0,1,3,0
84,84,84,71,4.714285714285714,165,1,1,5,0,1.0,2,1,1,1,0,0,2,1
51,51,51,71,3.7142857142857144,130,1,0,6,2,1.0,2,1,2,0,1,0,3,0
82,82,82,81,1.5714285714285714,55,3,2,6,1,2.0,1,1,1,1,0,0,4,0
70,70,70,78,2.4285714285714284,85,2,1,7,1,2.0,2,2,0,0,0,0,3,0
73,73,73,78,4.0,140,2,2,9,2,1.0,1,1,1,1,0,0,4,1
65,65,65,64,2.2857142857142856,80,3,1,5,2,2.0,2,0,1,1,1,0,4,0
56,56,56,89,3.2857142857142856,115,4,0,7,0,0.0,2,0,1,1,1,0,4,1
70,70,70,69,3.5714285714285716,125,1,0,7,1,2.0,2,1,2,0,0,0,4,0
65,65,65,68,2.0,70,1,1,6,2,1.0,1,1,2,1,0,1,3,0
98,98,98,77,2.857142857142857,100,2,0,5,1,2.0,1,1,0,1,1,0,2,0
97,97,97,69,0.14285714285714285,5,1,1,6,2,1.0,2,1,0,1,0,0,3,0
82,82,82,83,2.0,70,0,1,6,1,1.0,2,0,1,1,0,0,2,0
95,95,95,75,2.5714285714285716,90,1,1,8,0,0.0,1,2,0,1,0,0,2,0
88,88,88,78,1.8571428571428572,65,0,2,8,1,0.0,1,2,2,1,0,0,3,0
67,67,67,81,4.285714285714286,150,1,1,5,1,2.0,0,0,2,1,0,0,1,1
80,80,80,68,1.5714285714285714,55,2,1,6,1,1.0,2,1,1,1,0,0,3,0
61,61,61,66,2.4285714285714284,85,1,1,6,0,1.0,2,2,2,1,0,0,6,0
84,84,84,95,3.0,105,0,0,10,0,1.0,1,0,2,1,0,1,4,0
52,52,52,77,4.142857142857143,145,2,1,7,2,1.0,0,2,2,1,0,1,3,1
92,92,92,76,1.5714285714285714,55,4,1,5,0,0.0,0,1,1,1,0,0,2,0
79,79,79,61,3.857142857142857,135,1,1,6,1,1.0,2,1,0,1,0,0,3,0
53,53,53,80,2.857142857142857,100,0,1,6,2,1.0,1,0,0,1,0,0,2,0
94,94,94,82,2.0,70,2,0,8,1,2.0,0,2,0,1,0,0,5,0
94,94,94,82,3.2857142857142856,115,1,1,8,0,1.0,0,1,1,1,0,1,2,0
93,93,93,88,3.0,105,4,1,7,1,1.0,2,2,0,1,0,0,3,1
89,89,89,67,2.2857142857142856,80,3,2,7,1,1.0,2,2,0,1,0,0,3,0
84,84,84,70,2.857142857142857,100,2,0,7,1,2.0,1,1,1,0,1,0,4,0
70,70,70,92,2.5714285714285716,90,1,1,7,2,1.0,1,1,0,1,0,0,3,1
57,57,57,98,3.0,105,2,1,4,1,0.0,1,0,2,1,0,0,2,1
64,64,64,65,3.4285714285714284,120,1,0,7,1,1.0,1,0,2,1,0,0,1,0
67,67,67,80,4.285714285714286,150,3,1,6,0,1.0,0,2,1,1,0,0,4,1
68,68,68,69,1.8571428571428572,65,0,0,5,1,1.0,2,0,2,1,0,1,1,0
78,78,78,62,4.714285714285714,165,0,1,10,2,1.0,2,1,1,1,1,0,3,1
60,60,60,73,1.1428571428571428,40,0,1,7,1,1.0,1,1,2,0,1,0,3,0
59,59,59,66,2.7142857142857144,95,1,1,7,1,1.0,0,2,2,1,0,0,3,0
86,86,86,88,3.4285714285714284,120,0,0,6,0,0.0,0,1,0,1,0,0,3,0
50,50,50,81,3.142857142857143,110,4,2,8,0,1.0,2,2,1,1,1,0,5,1
57,57,57,66,2.2857142857142856,80,3,2,5,1,1.0,2,2,1,1,0,0,3,0
72,72,72,60,2.7142857142857144,95,3,2,7,1,2.0,2,2,0,1,0,0,3,0
57,57,57,92,2.4285714285714284,85,2,1,6,0,1.0,2,0,1,1,1,1,2,0
98,98,98,67,2.2857142857142856,80,0,1,8,2,0.0,1,1,0,1,0,0,3,0
84,84,84,84,3.5714285714285716,125,2,0,6,1,2.0,2,0,1,1,0,0,3,1
72,72,72,73,3.142857142857143,110,3,0,9,0,1.0,2,1,1,1,0,0,3,0
56,56,56,83,2.2857142857142856,80,4,0,7,1,1.0,2,2,2,1,0,0,3,1
69,69,69,73,3.5714285714285716,125,3,1,8,0,1.0,2,0,1,1,1,0,3,0
83,83,83,63,3.142857142857143,110,3,1,8,0,1.0,0,0,1,1,1,0,1,0
